name,rank
Red Hot Chili Peppers,1
Harry Styles,2
Doja Cat,3
Ed Sheeran,4
Olivia Rodrigo,5
The Weeknd,6
Morgan Wallen,7
Chris Stapleton,8
Drake,9
Luke Combs,10
Justin Bieber,11
Thomas Rhett,12
Bruno Mars,13
Lil Durk,14
Dua Lipa,15
Adele,16
Lil Nas X,17
Billie Eilish,18
YoungBoy Never Broke Again,19
Juice WRLD,20
Latto,21
Imagine Dragons,22
Kanye West,23
Jon Batiste,24
Taylor Swift,25
Glass Animals,26
Kendrick Lamar,27
Lil Baby,28
Post Malone,29
Walker Hayes,30
SZA,31
Nirvana,32
Kodak Black,33
Bad Bunny,34
BTS,35
J. Cole,36
Fleetwood Mac,37
"Tyler, The Creator",38
Maren Morris,39
Foo Fighters,40
Jason Aldean,41
GAYLE,42
The Beatles,43
Jack Harlow,44
Stray Kids,45
Machine Gun Kelly,46
Eminem,47
Kane Brown,48
Cody Johnson,49
Elton John,50
Tate McRae,51
Future,52
Ariana Grande,53
Anderson .Paak,54
Gunna,55
Shawn Mendes,56
Meshuggah,57
Sam Hunt,58
Metallica,59
Yeat,60
The Kid LAROI,61
J.I.D,62
Childish Gambino,63
Queen,64
PUP,65
Led Zeppelin,66
Tame Impala,67
Charlie Puth,68
AC/DC,69
Khalid,70
Travis Scott,71
Miranda Lambert,72
Pop Smoke,73
Muni Long,74
Carrie Underwood,75
Eagles,76
Dolly Parton,77
Dr. Dre,78
Creedence Clearwater Revival,79
Lil Tjay,80
Lauren Spencer-Smith,81
Stephanie Beatriz,82
Lil Uzi Vert,83
Michael Buble,84
Lewis Capaldi,85
Rod Wave,86
Marvin Gaye,87
Camila Cabello,88
HARDY,89
Gabby Barrett,90
Michael Jackson,91
Prince,92
Em Beihold,93
Dove Cameron,94
Ghost,95
Lee Brice,96
Lana Del Rey,97
Maroon 5,98
Chris Brown,99
The Notorious B.I.G.,100
Lil Durk,1
Ghost,2
Ed Sheeran,3
The Weeknd,4
Doja Cat,5
for KING & COUNTRY,6
Drake,7
Morgan Wallen,8
Luke Combs,9
Stray Kids,1
Adele,10
Dua Lipa,11
Kanye West,12
Justin Bieber,13
Rex Orange County,14
Olivia Rodrigo,15
Bruno Mars,16
Lil Nas X,17
Lil Durk,2
Doja Cat,3
Ed Sheeran,4
The Weeknd,5
Juice WRLD,6
Adele,7
Morgan Wallen,8
Drake,9
Luke Combs,10
Justin Bieber,11
Dua Lipa,12
Bruno Mars,13
Imagine Dragons,18
Taylor Swift,19
Nirvana,20
Kendrick Lamar,21
Chris Stapleton,22
Glass Animals,23
Kodak Black,24
Walker Hayes,25
Lil Baby,26
Billie Eilish,27
Post Malone,28
Juice WRLD,29
Olivia Rodrigo,14
Lil Nas X,15
Charli XCX,16
Kanye West,17
Kendrick Lamar,18
Pearl Jam,19
Taylor Swift,20
Imagine Dragons,21
Chris Stapleton,22
Glass Animals,23
SZA,30
GAYLE,31
Eminem,32
Bad Bunny,33
The Beatles,34
Cody Johnson,35
Latto,36
Fleetwood Mac,37
Machine Gun Kelly,1
Nirvana,24
Post Malone,25
Walker Hayes,26
Lil Baby,27
Kodak Black,28
SZA,29
Billie Eilish,30
GAYLE,31
Bad Bunny,32
BTS,33
Ghost,34
Fleetwood Mac,35
Eminem,36
Future,38
BTS,39
J. Cole,40
Ariana Grande,41
Kane Brown,42
"Tyler, The Creator",43
Jason Aldean,44
Jack Harlow,45
Dolly Parton,46
Ed Sheeran,2
Lil Durk,3
Doja Cat,4
Latto,37
The Beatles,38
Carrie Underwood,39
Future,40
Kane Brown,41
Cody Johnson,42
Gabby Barrett,47
Elton John,48
The Weeknd,5
Morgan Wallen,6
Drake,7
Luke Combs,8
Adele,9
Dua Lipa,10
Olivia Rodrigo,11
Michael Buble,12
Justin Bieber,13
Foo Fighters,14
J. Cole,43
Jason Aldean,44
Jack Harlow,45
"Tyler, The Creator",46
Ariana Grande,47
Tame Impala,48
The Kid LAROI,49
Gunna,50
Elton John,51
Childish Gambino,52
Charlie Puth,53
Harry Styles,54
The Kid LAROI,49
Megan Thee Stallion,50
Childish Gambino,51
Gunna,52
Metallica,53
Stephanie Beatriz,54
Tame Impala,55
Dr. Dre,56
Harry Styles,57
The Chainsmokers,58
Queen,59
Kid Cudi,60
Travis Scott,61
Stray Kids,15
Bruno Mars,16
Latto,17
Maren Morris,18
Juice WRLD,19
Lil Nas X,20
Kanye West,21
Bad Bunny,22
Imagine Dragons,23
Glass Animals,24
SZA,25
Chris Stapleton,26
Dr. Dre,55
Travis Scott,56
Stephanie Beatriz,57
Metallica,58
Maren Morris,59
Kid Cudi,60
Lady Gaga,61
Nicki Minaj,62
Gabby Barrett,63
Thomas Rhett,64
Queen,65
AC/DC,66
Michael Jackson,62
Rod Wave,63
Pink Floyd,64
Summer Walker,65
Maren Morris,66
Miranda Lambert,67
Thomas Rhett,68
Charlie Puth,69
AC/DC,70
Benny The Butcher,71
Maroon 5,72
keshi,27
Kendrick Lamar,28
Taylor Swift,29
Billie Eilish,30
Post Malone,31
Walker Hayes,32
Nirvana,33
Mac Miller,34
Lil Baby,35
Kodak Black,36
Reba McEntire,37
Miranda Lambert,67
Khalid,68
Lil Uzi Vert,69
Eagles,70
Katy Perry,71
Maroon 5,72
Muni Long,73
Sam Hunt,74
Pop Smoke,75
Tate McRae,76
Pop Smoke,73
HARDY,74
Eagles,75
Khalid,76
Muni Long,77
Creedence Clearwater Revival,78
Prince,79
Moneybagg Yo,80
Jessica Darrow,81
Tate McRae,82
GAYLE,38
NCT DREAM,39
"Tyler, The Creator",40
Wallows,41
BTS,42
Fleetwood Mac,43
Jason Aldean,44
Tate McRae,45
Future,46
The Beatles,47
J. Cole,48
Lee Brice,77
Pink Floyd,78
Moneybagg Yo,79
Rod Wave,80
Michael Jackson,81
Lauren Spencer-Smith,82
The Chainsmokers,83
Lewis Capaldi,84
Creedence Clearwater Revival,85
HARDY,86
J.I.D,87
Megan Thee Stallion,88
Machine Gun Kelly,89
Tears For Fears,83
Lil Uzi Vert,84
Luke Bryan,85
YoungBoy Never Broke Again,86
Lewis Capaldi,87
Lauren Spencer-Smith,88
Journey,89
Lana Del Rey,90
CKay,91
Chris Brown,92
J.I.D,93
Sam Hunt,94
Parker McCollum,95
Eminem,49
Kane Brown,50
Harry Styles,51
Cody Johnson,52
Led Zeppelin,53
The Kid LAROI,54
Nicki Minaj,55
Elton John,56
Gunna,57
Nigo,58
Jessica Darrow,90
YoungBoy Never Broke Again,91
CKay,92
Normani,93
Chris Brown,94
Dove Cameron,95
Ava Max,96
Lana Del Rey,97
Camila Cabello,98
Prince,99
The Notorious B.I.G.,100
Camila Cabello,96
Em Beihold,97
The Lumineers,98
twenty one pilots,99
Guns N' Roses,100
Jack Harlow,59
Lady Gaga,60
Childish Gambino,61
Queen,62
Charlie Puth,63
Yahritza y Su Esencia,64
Thomas Rhett,65
Tame Impala,66
Ariana Grande,67
Travis Scott,68
Metallica,69
Eagles,70
Khalid,71
Daddy Yankee,72
Sam Hunt,73
Stephanie Beatriz,74
Miranda Lambert,75
Dr. Dre,76
Pop Smoke,77
My Chemical Romance,78
Maroon 5,79
Muni Long,80
Ghost,81
AC/DC,82
blackbear,83
Lauren Spencer-Smith,84
Kid Cudi,85
Rod Wave,86
Pink Floyd,87
Creedence Clearwater Revival,88
J.I.D,89
Summer Walker,90
Lil Uzi Vert,91
Lewis Capaldi,92
The Notorious B.I.G.,93
Carrie Underwood,94
The Chainsmokers,95
HARDY,96
Michael Jackson,97
Ava Max,98
Gabby Barrett,99
Em Beihold,100
